smiles,DHODH
OC(=O)c1cccc2[nH]c(nc12)c3ccc(OCc4ccccc4)cc3,5.3
OC(=O)C1=C(COC1)C(=O)Nc2c(F)cc(cc2F)c3cccc(OC(F)(F)F)c3,6.69
C\C(=C(/C#N)\C(=O)Nc1ccc(cc1Cl)c2ccccc2)\O,6.5
Cc1cc(C(=O)O)c2[nH]c(nc2c1)c3ccc(Oc4ccccc4)cc3,5.47
Cc1cc(C(=O)O)c2[nH]c(nc2c1)c3c(F)c(F)c(c(F)c3F)n4c(C)ccc4C,8.25
CC(=O)Nc1ccccc1c2ccc(cc2)c3nc4c(cccc4[nH]3)C(=O)N,4.29
CCOC(=O)c1sc(Nc2ccc(C)c(Cl)c2)nc1C3CC3,6.43
Cc1ccc(Nc2cnc(N3CCCCC3)c(C)c2)c(c1)C(=O)O,7.39
OC(=O)c1cccc2[nH]c(nc12)c3c(F)c(F)c(c(F)c3F)c4ccc(F)cc4,6.09
Cc1ccc(Nc2cnc(c(C)c2)c3cccc(Cl)c3)c(c1)C(=O)O,8
Cc1oncc1\C(=N\c2ccc(cc2)C#N)\S,4.46
OC(=O)c1cccc2nc([nH]c12)c3ccc(cc3F)c4ccccc4F,6.01
COc1ccccc1c2c(F)c(F)c(NC(=O)C3=C(CCC3)C(=O)O)c(F)c2F,8.1
CN(C)c1ccc(cc1)c2cc(F)c(NC(=O)C3=C(CCC3)C(=O)O)c(F)c2,6.21
COc1ccc(CSc2nc3nc(C)cc(O)n3n2)cc1,4.2
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3c(F)c(F)c(c(F)c3F)c4cccnc4,7.5
CC\C(=C(/C#N)\C(=O)Nc1ccc(c2ccc(F)cc2)c(c1)C(=O)OC)\O,6.96
Cc1ccc(Nc2cnc(c(C)c2)c3ccccc3Cl)c(c1)C(=O)O,7.85
OC(=O)c1c(O)c(nc2ccc(F)cc12)c3ccc(Cl)cc3,6.51
OC(=O)C1=C(CS(=O)(=O)C1)C(=O)Nc2ccc(cc2)c3ccccc3,5.42
OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O,4.84
OC(=O)C1=C(CCC1)C(=O)Nc2ccc(OCc3ccccc3)cc2,5.7
NC(=O)c1cccc2[nH]c(nc12)c3ccc(cc3)c4ccc(cc4)C(=O)N5CCCC5,4.7
OC(=O)c1cc(Cl)cc2[nH]c(nc12)c3ccc(cc3)c4ccccc4F,6.02
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3c(F)cc(cc3F)c4ccccc4,6.75
CCOC(=O)c1sc(Nc2ccc(C)c(C)c2)nc1N,5.68
COc1cccc(c1)c2ccc(NC(=O)C3=C(COC3)C(=O)O)c(F)c2,6.44
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3c(F)c(F)c(c(F)c3F)c4cccc(NC(=O)C5CCCN5)c4,6.09
CCOc1cccc(c1)c2ccc(NC(=O)\C(=C(/O)\CC)\C#N)cc2C(=O)OC,7.23
Cc1n[nH]c(Nc2ccc(cc2)C(C)(C)C)c1C#N,5.44
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3ccc(cc3)c4ccc(OCCCN5CCCCC5)cc4,5.79
O=Cc1ccccc1\C=N\Nc2nc(cs2)c3ccccc3,6.96
OC(=O)c1cc(ccc1Nc2cnc(C3CC3)c(c2)c4ccccc4)C5CC5,7.55
Cc1c(F)c(Nc2ncccc2C(=O)O)c(F)cc1c3ccccc3,8.3
Cc1cc(O)n2nc(SCc3ccc(Cl)c(Cl)c3)nc2n1,5.19
CC(=O)Nc1ccccc1COc2ccc(cc2)c3ccc(cc3)c4nc5c(cc(C)cc5[nH]4)C(=O)O,6.52
OC(=O)C1=C(CCC1)C(=O)Nc2ccc(c(Cl)c2)c3ccc(Br)cc3,7.16
O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)c2ccccc2)\C3CC3,7.28
OC(=O)c1ccccc1NC(=O)Nc2cc(Cl)cc(Cl)c2,6.16
COc1ccccc1c2ccc(NC(=O)C3=C(CCC3)C(=O)O)c(Cl)c2,6.51
OC(=O)C1=C(CCC1)C(=O)Nc2ccc(OCc3c(F)cccc3Cl)c(Cl)c2,7.96
OC(=O)C1=C(CCC1)C(=O)Nc2ccc(cc2C(F)(F)F)c3cccc(OC(F)(F)F)c3,6.08
CCOC(=O)c1sc(Nc2ccc3cc4ccccc4cc3c2)nc1c5ccccc5,6.34
CCOC(=O)c1sc(Nc2ccc(Cl)c(Cl)c2)nc1c3ccccc3,6.76
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3ccc(cc3)c4ccc(O)cc4,6.46
OC(=O)C1=C(CCC1)C(=O)Nc2cc(Br)c(OCc3c(F)cccc3Cl)c(Br)c2,6.96
NC(=O)c1cccc2[nH]c(nc12)c3ccc(cc3)c4ccccc4,5.01
Cc1ccc(Nc2[nH]nc(C)c2C#N)cc1,4.92
CCCCOc1cccc(c1)c2cc(C(=O)O)c3ccccc3n2,5.88
COc1ccccc1c2ccc(NC(=O)\C(=C(\C)/O)\C#N)c(Cl)c2,6.7
OC(=O)c1c(O)c(nc2ccccc12)c3ccc(cc3)c4ccccc4,8
OC(=O)C1=C(CSC1)C(=O)Nc2c(F)c(F)c(c(F)c2F)c3cccc(OC(F)(F)F)c3,8.4
Cc1ccc(Nc2cnc(c(C)c2)c3cccc(c3)C(=O)N4CCCC4)c(c1)C(=O)O,8.05
C\C(=C(/C#N)\C(=O)Nc1ccc(cc1)C(F)(F)F)\O,6.86
Cc1cc(O)n2nc(SCc3ccccc3[N+](=O)[O-])nc2n1,5.02
COc1ccc(F)cc1c2ncc(Nc3ccc(C)cc3C(=O)O)cc2C,7.34
CC\C(=C(/C#N)\C(=O)Nc1ccc(c2cccnc2)c(c1)C(=O)OC)\O,7.4
OC(=O)c1sccc1C(=O)Nc2ccc(cc2)c3ccccc3,6.52
OC(=O)c1cc(nc2ccc(Br)cc12)c3ccc(Cl)c(Cl)c3,7.24
OC(=O)c1cc(ccc1Nc2ccc(nc2)c3ccccc3F)C4CC4,8.1
OC(=O)c1cccc2[nH]c(nc12)c3c(F)c(F)c(c(F)c3F)c4ccccc4F,7.75
FC(F)(F)c1ccc(NC(=S)c2cnoc2C3CC3)cc1,5.5
Cc1cc(C(=O)O)c2nc(c3c(F)c(F)c(c(F)c3F)c4ccccc4)n(C)c2c1,6.94
Cc1ccc(cc1)c2cc(C(=O)O)c3cc(Cl)ccc3n2,5.23
CCOC(=O)c1sc(Nc2ccc(C)c(C)c2)nc1c3ccccc3,7.24
CCN(\N=C\c1ccccc1C(=O)O)c2nc(cs2)c3ccccc3Cl,7.23
CCCOc1ccc(cc1)c2cc(C(=O)O)c3cc(Cl)ccc3n2,6.58
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3c(F)c(F)c(c(F)c3F)c4ccc(OCc5ccccc5)cc4,7.32
NC(=O)c1cccc2[nH]c(nc12)c3ccc(cc3)c4ccc(N)nc4,4.7
Cc1n[nH]c(Nc2ccc(cc2)C(F)(F)F)c1CO,5.57
OC(=O)c1c(O)c(nc2ccc(F)cc12)c3ccc(Oc4ccccc4)cc3,8.22
CC(=O)Nc1cccc(COc2ccc(cc2)c3ccc(cc3)c4nc5c(cc(C)cc5[nH]4)C(=O)O)c1,7.55
CN(\N=C\c1ccc(cc1C(=O)O)C(F)(F)F)c2nc(cs2)c3ccccc3Cl,7.06
CC\C(=C(/C#N)\C(=O)Nc1ccc(c2ccccc2)c(c1)C(=O)OC)\O,7.14
COc1cccc(c1F)c2cc(F)c(Nc3ncccc3C(=O)O)c(F)c2,7.28
Fc1ccc(\C=C\C(=O)Nc2ccccn2)cc1,4.89
FC(F)(F)c1ccc(Nc2[nH]nc3CCCC(=O)c23)cc1,5.19
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3ccc(cc3)c4ccc(OCc5cccnc5)cc4,6.12
CC(C)Oc1nn(c(C)c1C(O)c2ccccc2)c3ncc(cn3)C4CC4,7.8
OC(=O)c1cccc2nc([nH]c12)c3c(F)c(F)c(c(F)c3F)c4cccc(F)c4,7.55
Cc1ccc(Nc2cnc(c(C)c2)c3ccncc3F)c(c1)C(=O)O,7.43
CCOc1ccc(F)c(c1)c2ccc(Nc3ccc(C)cc3C(=O)O)cn2,7.72
OC(=O)c1cccc2[nH]c(nc12)c3c(F)c(F)c(c(F)c3F)c4ccsc4,6.36
OC(=O)C1=C(CCC1)C(=O)Nc2c(F)cc(cc2F)c3ccccc3F,7.35
OC(=O)c1cccnc1Nc2c(F)cc(cc2F)c3cccc(OC4CCC4)c3,7.05
CC(=O)Nc1cccc(c1)c2ccc(cc2)c3nc4c(cc(C)cc4[nH]3)C(=O)O,5.86
Cc1c(Cl)cccc1Nc2ncccc2C(=O)O,4.89
CCOC(=O)c1sc(Nc2ccc(C)c(F)c2)nc1c3ccccc3,7.31
COc1cccc(c1)c2ccc(c(F)c2)c3nc4c(cccc4[nH]3)C(=O)O,6.21
CC\C(=C(/C#N)\C(=O)Nc1ccc(c2cccc(OC)c2)c(c1)C(=O)OC)\O,7.58
CCOc1cccc(c1)c2cc(F)c(Nc3ncc(cc3C(=O)O)C4CC4)cc2F,7.64
Cc1ccc2c(C(=O)O)c(O)c(nc2c1)c3ccc(Cl)cc3,4.77
O=C(NC1CC1)c2ccc(s2)N3CCSc4ccccc34,5.1
Cc1ccc(Nc2cnc(N3CCCCCC3)c(C)c2)c(c1)C(=O)O,6.92
Cc1cc(C(=O)O)c2[nH]c(nc2c1)c3ccc(cc3)c4c(F)cccc4F,6.46
OC(=O)c1c(O)c(nc2ccc(F)cc12)c3ccc(O)cc3,5.68
CCc1sc(N\N=C\c2ccccc2C(=O)O)nc1c3ccccc3Cl,6.45
CC\C(=C(/C#N)\C(=O)Nc1ccc(c2cccc(F)c2)c(c1)C(=O)OC)\O,6.7
Oc1c(C#N)c(nc2ccncc12)c3ccc(cc3)c4cccnc4,5.24
NC(=O)c1cccc2[nH]c(nc12)c3ccc(cc3)c4cncc(c4)C(=O)N5CCCC5,4.55
Cc1n[nH]c(Nc2ccc(OC(F)(F)F)cc2)c1C#N,6.3
Cc1ccc(Nc2cnc(c(C)c2)c3ccccc3C(F)(F)F)c(c1)C(=O)O,7.7
CCOC(=O)c1sc(Nc2ccc(Br)cc2)nc1C,5.04
CCOC(=O)c1sc(Nc2ccc(C)c(Cl)c2)nc1C(C)(C)C,6.26
CCOc1cccc(c1)c2ccc(Nc3ccc(C)cc3C(=O)O)cn2,6.72
CCOc1cccc(c1)c2cc(C)c(Nc3ccc(C)cc3C(=O)O)cn2,7.11
Cc1cc(C(=O)O)c2c(c1)nc(c3c(F)c(F)c(c(F)c3F)c4ccccc4)n2C,8.52
CCOC(=O)c1sc(Nc2ccc(C)c(C)c2)nc1C,5.87
CCOC(=O)c1sc(Nc2ccc(Cl)cc2)nc1c3ccccc3,6.62
COc1ccc2nc(c(O)c(C(=O)O)c2c1)c3ccc(Cl)cc3,4.37
Cc1cc(C(=O)N)c2nc([nH]c2c1)c3ccc(cc3)c4ccccc4,5.11
Cc1cc(Nc2ccc(cc2)C(F)(F)F)[nH]n1,4.78
OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,4.77
COc1ccc(cc1)C(=O)NCCC(=O)N[C@@H]2CCCc3ccccc23,5.44
OC(=O)c1cccc2[nH]c(nc12)c3c(F)c(F)c(c(F)c3F)c4cccc(OC(F)(F)F)c4,6.66
COc1cccc(c1)c2cc(F)c(NC(=O)C3=C(CCC3)C(=O)O)c(F)c2,7.96
CC\C(=C(/C#N)\C(=O)Nc1ccc(c2cc(F)c(F)c(F)c2)c(c1)C(=O)OC)\O,6.86
OC(=O)c1cccc2[nH]c(nc12)c3ccc(Oc4c(F)cccc4F)cc3,5.8
OC(=O)c1cc(nc2ccc(F)cc12)c3ccc(Oc4ccccc4)cc3,7.44
Cc1cc(C(=O)O)c2[nH]c(nc2c1)c3c(F)c(F)c(c(F)c3F)c4cccc(F)c4,8.05
Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,5.1
Cc1cc(C(=O)O)c2[nH]c(nc2c1)c3c(F)c(F)c(c(F)c3F)c4cccc(OCc5ccccc5)c4,7.87
CCCCNC(=O)C1=C(Nc2ccc(C)c(C)c2)SCC1=O,5.35
Cc1cc(Nc2ccc(cc2C(=O)O)C3CC3)cnc1c4ccccc4,8.22
Cc1cccc2nc(c(O)c(C(=O)O)c12)c3ccc(Cl)cc3,4.29
CCOC(=O)c1sc(Nc2ccc(Br)c(c2)C(F)(F)F)nc1c3ccccc3,6.89
CCC(C)N(\N=C\c1ccccc1C(=O)O)c2nc(cs2)c3ccccc3Cl,7.62
OC(=O)c1cccc2nc(oc12)c3ccc(cc3)c4ccccc4,5.52
NC(=O)c1cc(F)cc2[nH]c(nc12)c3ccc(cc3F)c4ccc(NC(=O)C5CC5)cc4F,4.32
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3c(F)c(F)c(c(F)c3F)c4ccc(NC(=O)C5CCCN5)cc4,7.25
OC(=O)c1ccccc1N\N=C\c2oc(cc2)c3ccccc3Cl,6.3
CC(=O)c1sc(Nc2ccc(Br)c(c2)C(F)(F)F)nc1C,5.71
NC(=O)c1cccc2[nH]c(nc12)c3ccc(cc3)c4ccc(OCCN5CCCCC5)cc4,4.51
OC(=O)c1cccc2[nH]c(nc12)c3c(F)c(F)c(c(F)c3F)c4cccc(F)c4F,6.68
CCOC(=O)C1=C(Nc2ccc3CCCCc3c2)SCC1=O,4.92
Cc1ccc2nc(c(O)c(C(=O)O)c2c1)c3ccc(Cl)cc3,6.66
Oc1ccc(cc1O)C2=CC(=O)c3ccccc3O2,4.91
Cc1cc(C(=O)O)c2[nH]c(nc2c1)c3c(F)c(F)c(c(F)c3F)c4cccc(O)c4,7.87
CC\C(=C(/C#N)\C(=O)Nc1ccc(c(c1)C(=O)OC)c2ccc(F)cc2F)\O,7.51
COc1cccc(c1)c2ccc(NC(=O)C3=C(CCC3)C(=O)O)c(OC)c2,6.77
OC(=O)c1c(O)c(nc2ccc(F)cc12)c3ccc(Sc4ccccc4)cc3,7.75
Cc1c(nc2ccc(F)cc2c1C(=O)O)c3ccc(cc3)c4ccccc4,8.15
CC(=O)\C(=C(\S)/Nc1ccc(cc1)C(F)(F)F)\C#N,6.1
Oc1c(C#N)c(nc2ccncc12)c3ccc(cc3)c4ccncc4Cl,5.2
OC(=O)C1=C(CCC1)C(=O)Nc2ccc(cc2)c3ccccc3,6.39
COc1cccc(c1)c2ncc(Nc3ccc(cc3C(=O)O)C4CC4)cc2C(F)(F)F,8.15
